Deployment_Date,File_Number,checkout,Site,Seapac_SN, Current_Sensor_SN,"Sensor, norman",Modem_Type,Deployment_Ship,Deployment_Date,,Dep-date norman,"Dep-time,norman",Recovery_Date,,Recovery date,Recovery time,Recovery_Ship,Deployed_Days,,inclination,Comments,,,,,,,,,,,,
1995-04-02,,,C,,,Unknown,,,4/2/1995,0:30:00,4/2/1995,0:30:00,11/30/1995,0:00:00,11/30/1995,0:00:00,,,4.73,4.73,-,-,28.80915,94.7521,4.73,,-,,,,,,57
1995-04-03,,,B,,,Unknown,,,4/3/1995,0:00:00,4/3/1995,0:00:00,8/23/1995,15:00:00,8/23/1995,15:00:00,,,4.82,4.82,-,-,28.98283,94.9162,4.82,,-,,,,,,9
1995-06-01,,,E,,,Unknown,,,6/1/1995,0:00:00,6/1/1995,0:00:00,1/16/1996,14:00:00,1/16/1996,14:00:00,,,6,6,-,-,27.3383,97.1,6,,-,,,,,,103
1995-06-12,,,D,,,Unknown,,,6/12/1995,18:30:00,6/12/1995,18:30:00,9/10/1995,0:00:00,9/10/1995,0:00:00,,,5.85,5.85,-,-,27.93295,96.8076,5.85,,-,,,,,,62
1995-06-21,,,A,,,Unknown,,,6/21/1995,17:00:00,6/21/1995,17:00:00,7/9/1995,23:30:00,7/9/1995,23:30:00,,,4.17,4.17,Faulty_compass,Faulty_compass,29.5325,93.81222,4.17,,Faulty_compass,,,,,,1
1995-08-12,,,A,,,B-1223,,,8/12/1995,0:00:00,8/12/1995,0:00:00,10/8/1995,23:30:00,10/8/1995,23:30:00,,,4.17,4.17,-,-,29.5325,93.81222,4.17,,-,,,,,,2
1995-08-31,,,B,,,Unknown,,,8/31/1995,18:30:00,8/31/1995,18:30:00,1/10/1996,0:00:00,1/10/1996,0:00:00,,,4.82,4.82,-,-,28.98283,94.9162,4.82,,-,,,,,,10
1995-09-01,40014-1995-09-01,167,A,40014,,B-1223,Zcom,R/V Gyre,9/1/1995,,9/1/1995,,9/19/1995,,9/19/1995,,R/V Gyre,18,,,,,,,,,,,,,,,
1995-09-10,,,D,,,B-1293,,,9/10/1995,6:00:00,9/10/1995,6:00:00,1/9/1996,23:30:00,1/9/1996,23:30:00,,,5.85,5.85,-,-,27.93295,96.8076,5.85,,-,,,,,,63
1995-11-30,40017-1995-11-30,205,C,40017,,Unknown,Microcom,M/V Spree,11/30/1995,,11/30/1995,0:00:00,2/6/1996,,2/6/1996,0:00:00,M/V Spree,68,,4.73,-,,,,,,,,,,,,
1995-12-04,40015-1995-12-04,212,D,40015,,B-1293,Microcom,M/V Spree,12/4/1995,,12/4/1995,,1/10/1996,,1/10/1996,,M/V Spree,37,,,,,,,,,,,,,,,
1996-01-10,40014-1996-10-02,172,B,40014,,Unknown,Microcom ,Texas Responder,1/10/1996,,1/10/1996,0:00:00,3/21/1996,,3/21/1996,0:00:00,Texas Responder,71,,4.73,-,,,,,,,,,,,,
1996-01-10,,,D,,,Unknown,,,1/10/1996,0:00:00,1/10/1996,0:00:00,3/21/1996,0:00:00,3/21/1996,0:00:00,,,5.77,5.77,-,-,27.93295,96.8076,5.77,,-,,,,,,64
1996-02-02,40018-1996-02-02,230,E,40018,,B-1311,Microcom,Lone Star Responder,2/2/1996,,2/2/1996,,6/5/1996,,6/5/1996,,Lone Star Responder,124,,,,,,,,,,,,,,,
1996-02-06,40016-1996-02-06,203,C,40016,,B-1286,Microcom,M/V Spree,2/6/1996,,2/6/1996,0:00:00,4/2/1996,,4/2/1996,20:00:00,M/V Spree,56,,4.63,-,,,,,,,,,,,,
1996-02-22,40017-1996-02-22,245,F,40017,,,Microcom,M/V Spree,2/22/1996,,2/22/1996,,8/7/1996,,8/7/1996,,M/V Spree,167,,,,,,,,,,,,,,,
1996-02-23,,,F,,,Unknown,,,2/23/1996,0:00:00,2/23/1996,0:00:00,8/7/1996,13:00:00,8/7/1996,13:00:00,,,4.35,4.35,-,-,28.836,94.2355,4.35,,-,,,,,,104
1996-03-21,40015-1996-03-21,176,B,40015,,B-1293,Microcom,M/V Spree,3/21/1996,,3/21/1996,0:00:00,5/22/1996,,5/22/1996,0:00:00,M/V Spree,62,,4.73,-,,,,,,,,,,,,
1996-03-21,50039-1996-03-21,215,D,50039,,B-1393,Microcom,M/V Spree,3/21/1996,,3/21/1996,0:00:00,7/25/1996,,7/25/1996,6:00:00,Lone Star Responder,126,,5.77,-,,,,,,,,,,,,
1996-04-02,50038-1996-04-02,206,C,50038,,Unknown,Microcom,M/V Spree,4/2/1996,,4/2/1996,20:00:00,6/20/1996,,6/20/1996,12:30:00,Texas Responder,79,,4.63,Bad_temperature_record,,,,,,,,,,,,
1996-04-17,40015-1996-08-14,169,A,40015,,B-1293,Microcom,Gulf Coast Resp,4/17/1996,,4/17/1996,16:00:00,6/14/1996,,6/14/1996,12:30:00,M/V Spree,58,,4.07,-,,,,,,,,,,,,
1996-05-22,50040-1996-05-22,180,B,50040,,B-1396,Microcom,Texas Responder,5/22/1996,,5/22/1996,0:00:00,7/17/1996,,7/17/1996,0:00:00,Texas Responder,56,,4.73,-,,,,,,,,,,,,
1996-06-14,40014-1996-06-14,166,A,40014,,B-1223,Microcom ,M/V Spree,6/14/1996,,6/14/1996,12:30:00,8/14/1996,,8/14/1996,0:00:00,Gulf Coast Resp,61,,4.07,-,,,,,,,,,,,,
1996-06-20,40018-1996-06-20,204,C,40018,,B-1311,Microcom,Texas Responder,6/20/1996,,6/20/1996,16:30:00,3/20/1997,,3/20/1997,0:00:00,Texas Responder,273,,4.63,Data_stops_on_11/29/1996,,,,,,,,,,,,
