Deployment_Date,File_Number,checkout,Site,Seapac_SN, Current_Sensor_SN,Modem_Type,Deployment_Ship,Deployment_Date,,Recovery_Date,,Recovery_Ship,Deployed_Days,,,,,,,,,,,,,
4/2/1995,,,C,,Unknown,,,4/2/1995,0:30:00,11/30/1995,0:00:00,,,4.73,-,28.80915,94.7521,4.73,,-,,,,,,57
4/3/1995,,,B,,Unknown,,,4/3/1995,0:00:00,8/23/1995,15:00:00,,,4.82,-,28.98283,94.9162,4.82,,-,,,,,,9
6/1/1995,,,E,,Unknown,,,6/1/1995,0:00:00,1/16/1996,14:00:00,,,6,-,27.3383,97.1,6,,-,,,,,,103
6/12/1995,,,D,,Unknown,,,6/12/1995,18:30:00,9/10/1995,0:00:00,,,5.85,-,27.93295,96.8076,5.85,,-,,,,,,62
6/21/1995,,,A,,Unknown,,,6/21/1995,17:00:00,7/9/1995,23:30:00,,,4.17,Faulty_compass,29.5325,93.81222,4.17,,Faulty_compass,,,,,,1
8/12/1995,,,A,,B-1223,,,8/12/1995,0:00:00,10/8/1995,23:30:00,,,4.17,-,29.5325,93.81222,4.17,,-,,,,,,2
8/31/1995,,,B,,Unknown,,,8/31/1995,18:30:00,1/10/1996,0:00:00,,,4.82,-,28.98283,94.9162,4.82,,-,,,,,,10
9/1/1995,40014-1995-09-01,167,A,40014,B-1223,Zcom,R/V Gyre,9/1/1995,,9/19/1995,,R/V Gyre,18,,,,,,,,,,,,,
9/10/1995,,,D,,B-1293,,,9/10/1995,6:00:00,1/9/1996,23:30:00,,,5.85,-,27.93295,96.8076,5.85,,-,,,,,,63
11/30/1995,40017-1995-11-30,205,C,40017,,Microcom,M/V Spree,11/30/1995,,2/6/1996,,M/V Spree,68,,,,,,,,,,,,,
12/4/1995,40015-1995-12-04,212,D,40015,B-1293,Microcom,M/V Spree,12/4/1995,,1/10/1996,,M/V Spree,37,,,,,,,,,,,,,
1/10/1996,40014-1996-10-02,172,B,40014,B-1223,Microcom ,Texas Responder,1/10/1996,,3/21/1996,,Texas Responder,71,,,,,,,,,,,,,
1/10/1996,,,D,,Unknown,,,1/10/1996,0:00:00,3/21/1996,0:00:00,,,5.77,-,27.93295,96.8076,5.77,,-,,,,,,64
2/2/1996,40018-1996-02-02,230,E,40018,B-1311,Microcom,Lone Star Responder,2/2/1996,,6/5/1996,,Lone Star Responder,124,,,,,,,,,,,,,
2/6/1996,40016-1996-02-06,203,C,40016,B-1286,Microcom,M/V Spree,2/6/1996,,4/2/1996,,M/V Spree,56,,,,,,,,,,,,,
2/22/1996,40017-1996-02-22,245,F,40017,,Microcom,M/V Spree,2/22/1996,,8/7/1996,,M/V Spree,167,,,,,,,,,,,,,
2/23/1996,,,F,,Unknown,,,2/23/1996,0:00:00,8/7/1996,13:00:00,,,4.35,-,28.836,94.2355,4.35,,-,,,,,,104
3/21/1996,40015-1996-03-21,176,B,40015,B-1293,Microcom,M/V Spree,3/21/1996,,5/22/1996,,M/V Spree,62,,,,,,,,,,,,,
3/21/1996,50039-1996-03-21,215,D,50039,B-1393,Microcom,M/V Spree,3/21/1996,,7/25/1996,,Lone Star Responder,126,,,,,,,,,,,,,
4/2/1996,50038-1996-04-02,206,C,50038,,Microcom,M/V Spree,4/2/1996,,6/20/1996,,Texas Responder,79,,,,,,,,,,,,,
