Filename,Checkout_No,Type ,Sensor_Make,Sensor_Model,Sensor_SN,Limits,Dimensions,Site,,
001-01-31-05,91,Current Sensor,Aanderaa,DCS 3900R,352,0-300,cm/s,K,,
001-01-31-05,91,Air Temperature,R.M. Young,41342VC,7884,°¿ 50,deg. C,K,,
001-01-31-05,91,Barometer,Vaisala,PTB100A,Y3230007,600 - 1060,hPa,K,,
001-01-31-05,91,Anemometer,Gill,Wind Observer II,549,N/A,N/A,K,,
001-01-31-05,91,Compass,KVH Industries,C100-LP,4070116,N/A,N/A,K,,
001-01-31-05,91,Tilt,missing,missing,42630008,N/A,N/A,K,,
001-05-10-05,92,Current Sensor,Aanderaa,DCS 3900R,352,0-300,cm/s,K,,
001-05-10-05,92,Modem,Qualcomm,GSP 1620,74022F95,0 - 350 ,cm/sec,K,,
001-05-10-05,92,Air Temperature,R.M. Young,41342VC,7884,°¿ 50,deg. C,K,,
001-05-10-05,92,Anemometer,Gill,Wind Observer II,1373,N/A,N/A,K,,
001-05-10-05,92,Compass,KVH Industries,C100-LP,,N/A,N/A,K,,
001-07-03-03,90,Current Sensor,Aanderaa,DCS 3900R,96,0-300,cm/s,B,,
001-07-03-03,90,Air Temperature,R.M. Young,41342VC,5018,°¿ 50,deg. C,B,,
001-07-03-03,90,Barometer,Vaisala,PTB100A,X0930022,600 - 1060,hPa,B,,
001-07-03-03,90,Anemometer,Gill,Wind Observer II,547,N/A,N/A,B,,
001-07-03-03,90,Compass,KVH Industries,C100-LP,unknown,N/A,N/A,B,,
001-08-05-02,89,Current Sensor,Aanderaa,DCS 3900R,96,0 - 300,cm/sec,J,,
001-08-05-02,89,Anemometer,missing,missing,missing,missing,missing,J,,
001-08-05-02,89,Barometer,missing,missing,missing,missing,missing,J,,
001-08-05-02,89,Compass,missing,missing,missing,missing,missing,J,,
001-08-05-02,89,Temperature,missing,missing,missing,missing,missing,J,,
001-08-05-02,89,Temperature/Conductivity,missing,missing,missing,missing,missing,J,,
001-08-14-02,88,Current Sensor,Aanderaa,DCS 3900R,96,0-300,cm/s,K,,
001-08-14-02,88,Air Temperature,R.M. Young,41342VC,5426,°¿ 50,deg. C,K,,
001-08-14-02,88,Barometer,Vaisala,PTB100A,V1230007,600 - 1060,hPa,K,,
001-08-14-02,88,Anemometer,Gill,Wind Observer II,549,N/A,N/A,K,,
001-08-14-02,88,Compass,KVH Industries,C100-LP,unknown,N/A,N/A,K,,
002-04-19-04,95,Current Sensor,Aanderaa,DCS 3900R,355,0-300,cm/s,J,,
002-04-19-04,95,Air Temperature,R.M. Young,41342VC,5232,°¿ 50,deg. C,J,,
002-04-19-04,95,Barometer,Vaisala,PTB100A,Y3230005,600 - 1060,hPa,J,,
002-04-19-04,95,Anemometer,Gill,Wind Observer II,685,N/A,N/A,J,,
002-04-19-04,95,Compass,KVH Industries,C100-LP,unknown,N/A,N/A,J,,
002-05-29-02,93,Current Sensor,Aanderaa,DCS 3900R,110,0-300,cm/s,B,,
002-05-29-02,93,Air Temperature,R.M. Young,41342VC,5232,°¿ 50,deg. C,B,,
002-05-29-02,93,Barometer,Vaisala,PTB100A,W2850023,600 - 1060,hPa,B,,
002-05-29-02,93,Anemometer,Gill,Wind Observer II,685,N/A,N/A,B,,
002-05-29-02,93,Compass,KVH Industries,C100-LP,98020023,N/A,N/A,B,,
002-06-03-05,97,Current Sensor,Aanderaa,DCS 3900R,355,0-300,cm/s,J,,
002-06-03-05,97,Air Temperature,R.M. Young,41342VC,5018,°¿ 50,deg. C,J,,
002-06-03-05,97,Barometer,Vaisala,PTB100A,X0930022,600 - 1060,hPa,J,,
002-06-03-05,97,Anemometer,Gill,Wind Observer II,547,N/A,N/A,J,,
002-06-03-05,97,Compass,KVH Industries,C100-LP,98020023,N/A,N/A,J,,
002-07-29-04,96,Current Sensor,Aanderaa,DCS 3900R,355,0-300,cm/s,J,,
002-07-29-04,96,Modem,Qualcomm,GSP 1620,74022FBB,0 - 350 ,cm/sec,J,,
002-07-29-04,96,Air Temperature,R.M. Young,41342VC,5018,°¿ 50,deg. C,J,,
002-07-29-04,96,Barometer,Vaisala,PTB100A,X0930022,600 - 1060,hPa,J,,
002-07-29-04,96,Anemometer,Gill,Wind Observer II,547,N/A,N/A,J,,
002-08-04-03,94,Current Sensor,Aanderaa,DCS 3900R,223,0-300,cm/s,J,,
002-08-04-03,94,Air Temperature,R.M. Young,41342VC,5232,°¿ 50,deg. C,J,,
002-08-04-03,94,Barometer,Vaisala,PTB100A,W2850023,600 - 1060,hPa,J,,
002-08-04-03,94,Anemometer,Gill,Wind Observer II,685,N/A,N/A,J,,
002-09-22-06,99,Current Sensor,Aanderaa,DCS 3900R,355,0-300,cm/s,B,,
002-09-22-06,99,Air Temperature,R.M. Young,41342VC,5018,°¿ 50,deg. C,B,,
002-09-22-06,99,Barometer,Vaisala,PTB100A,Y3230005,600 - 1060,hPa,B,,
002-09-22-06,99,Anemometer,Gill,Wind Observer II,547,N/A,N/A,B,,
002-09-22-06,99,Compass,KVH Industries,C100-LP,97080017,N/A,N/A,B,,
002-11-15-05,98,Current Sensor,Aanderaa,DCS 3900R,355,0-300,cm/s,K,,
002-11-15-05,98,Air Temperature,R.M.Young,41342VC,5018,°¿ 50,deg. C,K,,
002-11-15-05,98,Barometer,Vaisala,PTB100A,Y3230005,600 - 1060,hPa,K,,
002-11-15-05,98,Anemometer,Gill,Wind Observer II,547,N/A,N/A,K,,
002-11-15-05,98,Compass,KVH Industries,C100-LP,97080017,N/A,N/A,K,,
002-11-20-07,100,Current Sensor,Aanderaa,DCS 4100R,214,0-300,cm/s,K,,
002-11-20-07,100,Air Temperature,R.M.Young,41342VC,5018,°¿ 50,deg. C,K,,
002-11-20-07,100,Barometer,Vaisala,PTB100A,X0930022,600 - 1060,hPa,K,,
002-11-20-07,100,Anemometer,Gill,Wind Observer II,547,N/A,N/A,K,,
003-04-22-02,101,Current Sensor,Aanderaa,DCS 3900R,19,0-300,cm/s,K,,
003-04-22-02,101,Air Temperature,R.M. Young,41342VC,5630,°¿ 50,deg. C,K,,
003-04-22-02,101,Temperature/Conductivity,Sea-Bird Electronics,MicroCAT SBE-37-SI ,1528,(-)5 - (+)35,Deg.C,K,,
003-04-22-02,101,Barometer,Vaisala,PTB100A,V1230010,600 - 1060,hPa,K,,
003-04-22-02,101,Temperature/Conductivity,Sea-Bird Electronics,MicroCAT SBE-37-SI ,1528,0 - 70,mS/cm,K,,
003-04-22-02,101,Anemometer,Gill,Wind Observer,0686,N/A,N/A,K,,
003-04-22-02,101,Compass,KVH Industries,C100-LP,SE-2502-0225,N/A,N/A,K,,
004-01-25-06,108,Current Sensor,Aanderaa,DCS 3900R,221,0 - 300,cm/sec,J,,
004-01-25-06,108,Air Temperature,R.M. Young,41342VC,5232,°¿ 50,deg. C,J,,
004-01-25-06,108,Barometer,Vaisala,PTB100A,WEF121905,600 - 1060,hPa,J,,
004-01-25-06,108,Anemometer,Gill,Wind Observer II,2082,N/A,N/A,J,,
004-01-25-06,108,Compass,KVH Industries,C100LP,97100002,N/A,N/A,J,,
004-01-29-04,106,Current Sensor,Aanderaa,DCS 3900R,221,0 - 300,cm/sec,missing,,
004-01-29-04,106,Air Temperature,R.M. Young,41342VC,unknown,°¿50,deg. C,missing,,
004-01-29-04,106,Barometer,Vaisala,PTB100A,X0930022,600 - 1060,hPa,missing,,
