Filename,Checkout_No,System_SN,Hull_SN,Inventory_No,Site_Designation,GS_Hex_ESN,Argos_ID,PTT_SN,Date,Globalstar_Phone,Technician
001-01-31-05,91,001,TABS-001,missing,K,74022F95,13394,24424,2005-01-31,254-000-1467,Willie Flemings
001-05-10-05,92,001,TABS-001,missing,K,74022F95,13394,100040181,2005-05-10,254-000-1467,Jorge Barrera
001-07-03-03,90,001,TABS-001,missing,B,740208D,13394,100040181,2003-07-03,254-000-1538,Paul Clark
001-08-05-02,89,001,unknown,missing,J,18802905,13394,unknown,2002-08-05,31654620022100,John Walpert
001-08-14-02,88,001,TABS-001,missing,K,7402323A,13394,24424,2002-08-14,254-000-0380,John Walpert
002-04-19-04,95,002,TABS-002,missing,J,74023335,3802,unknown,2004-04-19,254-000-0671,Paul Clark
002-05-29-02,93,002,TABS-002,missing,B,740234BE,3802,unknown,2002-05-29,254-000-0936,John Walpert
002-06-03-05,97,002,TABS-002,missing,J,74022FBB,3801,24293,2005-06-03,254-000-1467,Willie Flemings
002-07-29-04,96,002,TABS-002,missing,K,74022FBB,3802,unknown,2004-07-29,1-979-862-2440,Willie Flemings; John Walpert
002-08-04-03,94,002,TABS-002,missing,J,7402335,3802,24421,2003-08-04,254-000-0671,Paul Clark
002-09-22-06,99,002,TABS-002,missing,B,74046B05,3801,24293,2006-09-22,254-000-2052,Willie Flemings
002-11-15-05,98,002,TABS-002,missing,K,74022FBB,3801,24293,2005-11-15,254-000-1467,Willie Flemings
002-11-20-07,100,002,TGLO-002,missing,K,74046B05,3801,24293,2007-11-20,254-000-2052,Andy Dancer
003-04-22-02,101,003,TGLO-003,missing,K,7402333A,7815,24423,2002-04-22,254-000-0672,John Walpert
004-01-25-06,108, 004,B123,missing,J,74023335,3800,66595,2006-01-25,254-000-0671,Willie Flemings
004-01-29-04,106,004,B123,missing,missing,74022FBB,3803,24422,2004-01-29,254-000-1467,Paul Clark
004-02-27-02,103,004,unknown,missing,B,unknown,unknown,unknown,2002-02-27,254-000-0929,Paul Clark
004-04-10-01,102,004,B123,missing,J,74022FBB,3803,24422,2001-04-10,254-000-1467,Alexey Ivanov
004-06-04-04,107,004,B123,missing,missing,74022FBB,3803,24422,2004-06-04,254-000-1467,Willie Flemings
004-08-13-02,104,004,B123,missing,J,740234F6,3803,24422,2002-08-13,254-000-0929,John Walpert
004-10-06-03,105,004,B123,missing,missing,74022F95,3803,24422,2003-10-06,254-000-1474,Willie Flemings; Paul Clark
005-02-23-06,111,005,GERG-001,missing,N,74023335,3802,66613,2006-02-23,254-000-0671,Willie Flemings
005-03-02-07,112,005,GERG-001,missing,missing,74023335,3802,66613,2007-03-02,254-000-0671,Willie Flemings
005-03-03-03,110,005,GERG-001,missing,missing,740234C8,3800,24188,2003-03-03,254-000-0931,missing
005-08-14-02,109,005,GERG-001,missing,N,7402345E,3800,,2002-08-14,254-000-0652,CM
005-09-09-08,113,005,GERG-001,missing,V,74023335,3802,66613,2008-09-09,254-000-0671,Willie Flemings
006-06-26-02,114,006,GERG-006,missing,N,740234F0,3801,24293,2002-06-26,254-000-0935,John Walpert
006-08-18-03,115,006,GERG-006,missing,missing,740234F6,3801,24293,2003-08-18,254-000-0929,Willie Flemings
006-09-01-05,116,006,GERG-006,missing,V,740234F6,3803,24422,2005-09-01,254-000-0929,Eddie Webb
006-09-19-06,117,006,unknown,missing,V,74022FBB,3803,24422,2006-09-19,254-000-0929,Willie Flemings
007-01-18-01,118,007,GERG-002 ,missing,V,18802727,7818,24425,2001-01-18,31654610002100,unknown
008-04-14-11,162,008,unknown,missing,B,74024191,20407,67705,2011-04-14,254-000-1705,Willie Flemings
008-04-19-07,122,008,TGLO-005,missing,B,74024191,20407,67705,2007-04-19,254-000-1705,Andy Dancer
